id,"productnaam","productomschrijving","merk","img","link","oudeprijs","nieuweprijs","kleur","specialeactie",exclusief,uitverkocht,dames,heren,junior,gadgets1,gadgets2,bike,travel,winter,"categorie",volgorde,actie,binnenkort,groeneprijs
68,"Onesie","Dames","ESKIMO","ESKIMO_ONESIE-DAMES_41A3D52001_3652_02.jpg","#","59","39","","",NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"happy_dreams",257,NULL,NULL,1
69,"Onesie","Dames","ESKIMO","ESKIMO_ONESIE-DAMES_41A3D52002_5336.jpg","#","59","39","","",NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"happy_dreams",253,NULL,NULL,1
70,"Onesie","Kids","ESKIMO","3511d42018_5252_01_be.jpg","#","39,95","29","","",NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,"happy_dreams",255,NULL,NULL,1
71,"Pyjama","Meisjes","CKS PYJAMA","CKS_PYJAMA_5383D52007_3675.jpg","#","49,99","35","","",NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,"happy_dreams",259,NULL,NULL,1
72,"Pyjama","Jongens","CKS PYJAMA","CKS_PYJAMA_52A3D52005_7546.jpg","#","49,99","35","","",NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,"happy_dreams",262,NULL,NULL,1
73,"Star map","(glow in the dark)","LUCKIES","LUCKIES_STAR-MAP_2H41C52073.jpg","/luckies-gadget-star-map-glow-in-the-dark-2h41c52073?id_colour=5806","","22,95","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"the_originals",265,NULL,NULL,NULL
74,"Car pyjama","Jongens","CLAESENS","CLAESSENS_CAR_5381D52001_4603.jpg","#","39,95","29","","",NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,"happy_dreams",268,NULL,NULL,1
75,"Robot pyjama","Jongens","CLAESENS","CLAESSENS_ROBOT_5381D52001_3246.jpg","#","39,95","29","","",NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,"happy_dreams",271,NULL,NULL,1
76,"Pantoffels","","AYACUCHO","AYACUCHO_ASSORTIMENT-PANTOFFELS_3221b92004_3838_02_be.jpg","#","","14,95","","Vanaf",NULL,NULL,5,1,1,NULL,NULL,NULL,NULL,NULL,"happy_dreams",258,NULL,NULL,NULL
77,"Pantoffels","","AYACUCHO","AYACUCHO_ASSORTIMENT-PANTOFFELS_3221b92004_4242_02_be.jpg","#","","14,95","","Vanaf",NULL,NULL,7,1,1,NULL,NULL,NULL,NULL,NULL,"happy_dreams",267,NULL,NULL,NULL
78,"Pantoffels","","AYACUCHO","AYACUCHO_ASSORTIMENT-PANTOFFELS_3221b92006_1212_04_be.jpg","#","","14,95","aya_pant_blauw.jpg aya_pant_donkerbruin.jpg aya_pant_zwart.jpg","Vanaf",NULL,NULL,9,1,1,NULL,NULL,NULL,NULL,NULL,"happy_dreams",280,NULL,NULL,NULL
79,"Escape","Heren rain jacket","CRAFT","CRAFT_ESCAPE-RAIN_9242d52001_7030_03_be_Ver1.jpg","/craft-jas-escape-rain-9242d52001?id_colour=4133","139,95","89","","",NULL,NULL,NULL,3,NULL,NULL,NULL,1,NULL,NULL,"deals_for_wheels",289,NULL,NULL,1
80,"Kid 200","Jongens street fiets","CUBE","CUBE_KIDS-STREET-200_A231C52004_4232.jpg","/cube-kid-200-street-fiets-a231c52004?id_colour=2364","385","299","","",NULL,NULL,NULL,NULL,3,NULL,NULL,1,NULL,NULL,"deals_for_wheels",292,NULL,NULL,NULL
81,"Kid 240","street fiets","CUBE","CUBE_KIDS-240-STREET_A231C52007_4270.jpg","/cube-kid-240-street-fiets-a231c52007?id_colour=2397","429","299","","",NULL,NULL,NULL,NULL,5,NULL,NULL,1,NULL,NULL,"deals_for_wheels",295,NULL,NULL,NULL
82,"Kid 200","Meisjes street fiets","CUBE","CUBE_KIDS-200-STREET_A242C52001_1036.jpg","/cube-kid-200-street-fiets-a242c52001?id_colour=289","385","299","","",NULL,NULL,NULL,NULL,7,NULL,NULL,1,NULL,NULL,"deals_for_wheels",298,NULL,NULL,NULL
83,"Kid 240","Meisjes allroad fiets","CUBE","CUBE_KID-240-ALLROAD_A242C52005_1047.jpg","#","419","299","","",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"deals_for_wheels",NULL,NULL,NULL,NULL
84,"Multitool","MT10","BROOKS","BROOKS_MULTITOOL_A3D1C60001.jpg","/brooks-multitool-mt10-a3d1c60001?id_colour=3778","","39,95","","",NULL,NULL,3,5,9,NULL,NULL,1,NULL,NULL,"deals_for_wheels",304,NULL,NULL,NULL
85,"3 Pack sokken","Heren","DE MARCHI","DE-MARCHI_SOKKEN_9251D52002_0101_4.jpg","#","","29,95","de_marchi_sokken-rood.jpg de_marchi_sokken-groen.jpg","",NULL,NULL,NULL,7,NULL,NULL,NULL,1,NULL,NULL,"deals_for_wheels",307,NULL,NULL,NULL
86,"Podium Big Chill","25 Drinkfles","CAMELBAK","CAMELBAK_PODIUM-BIG-CHILL-25_7215c50003_1032_01_be.jpg","#","","17,95","#000000","Slechts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"deals_for_wheels",NULL,NULL,NULL,NULL
87,"Podium Chill","21 Drinkfles","CAMELBAK","CAMELBAK_PODIUM-CHILL-21_7215c50005_1070_01_be.jpg","#","","15,95","#DD251D #5CB23D","Slechts",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"deals_for_wheels",NULL,NULL,NULL,NULL
88,"Pop i","Fietslicht","KNOG","Knog_Pop-i_Front_Red.jpg","#","","17,50","#000000 #ffffff knog_paars.jpg knog_groen.jpg knog_carbon.jpg","Slechts",NULL,NULL,5,9,11,NULL,NULL,1,NULL,NULL,"deals_for_wheels",316,NULL,NULL,NULL
89,"Nello","Fietsbel","PALOMAR","Palomar_Nello_2H51D52022.jpg","/palomar-gadget-nello-2h51d52022?id_colour=4168","","19,95","","",NULL,NULL,7,11,13,NULL,NULL,1,NULL,NULL,"deals_for_wheels",334,NULL,NULL,NULL
